mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER mlx  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.48,bandwith:5623.75
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.48,0,0.48,94.11
1,100,0.45,2.2,0.48,94.38
2,100,0.45,4.41,0.48,94.65
4,100,0.44,9.05,0.48,95.2
8,100,0.45,17.71,0.48,96.28
16,100,0.45,35.73,0.48,98.45
32,100,0.62,51.84,0.49,102.8
64,100,0.62,102.41,0.49,111.49
128,100,0.95,135.43,0.5,128.86
256,100,1.1,233.34,0.53,163.6
512,100,1.35,380.38,0.57,233.13
1024,100,1.62,632.51,0.66,372.61
2048,100,2.26,905.1,0.84,651.03
4096,100,3.33,1228.68,1.21,1187.6
8192,100,4.85,1690.66,1.94,2105.1
16384,100,5.48,2992.01,3.39,3374.38
32768,100,7.05,4649.56,6.31,4442.74
65536,100,10.67,6142.82,12.13,5345.33
131072,100,20.63,6353.11,23.79,6641.75
262144,100,34.26,7651.11,47.09,7784.45
524288,100,64.31,8152.67,93.71,8232.58
1048576,98,117.46,8926.97,186.93,8795.24
2097152,98,232.37,9024.96,373.38,9282.22
4194304,96,464.1,9037.48,746.29,9189.03
8388608,94,900.56,9314.9,1492.09,8837.19
16777216,88,1820.46,9215.93,2983.71,8252.84
33554432,80,5377.48,6239.8,5966.94,7381.11
67108864,66,11941.22,5619.93,11933.39,6110.58
134217728,50,23815.66,5635.69,23866.3,4928.23
268435456,32,47926.21,5601.02,47732.12,5760.44
