mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER sockets  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:7.21,bandwith:5353.56
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,7.21,0,7.21,-3.13
1,100,6.63,0.15,7.21,-3.08
2,100,6.72,0.3,7.21,-3.04
4,100,6.73,0.59,7.21,-2.95
8,100,6.71,1.19,7.21,-2.78
16,100,6.7,2.39,7.21,-2.44
32,100,6.72,4.77,7.22,-1.75
64,100,6.79,9.42,7.22,-0.38
128,100,6.72,19.04,7.23,2.31
256,100,10.55,24.27,7.26,7.69
512,100,11.97,42.77,7.31,19.46
1024,100,15.24,67.21,7.4,50.17
2048,100,13.42,152.58,7.59,135.1
4096,100,13.84,295.87,7.98,349.11
8192,100,13.85,591.67,8.74,735.31
16384,100,14.19,1154.32,10.27,1273.21
32768,100,16.37,2001.2,13.33,1739.28
65536,100,30.31,2161.95,19.45,2156.76
131072,100,50.01,2621.04,31.69,2768.21
262144,100,82.27,3186.43,56.18,3352.32
524288,100,134.31,3903.66,105.14,3699.39
1048576,98,237.2,4420.59,203.07,4183.89
2097152,98,473.51,4428.97,398.94,4676.69
4194304,96,837.82,5006.22,790.67,4855.47
8388608,94,1744.19,4809.46,1574.12,5021.33
16777216,88,3201.44,5240.53,3141.04,5213.36
33554432,80,6218.91,5395.55,6274.87,5307.26
67108864,66,12431.65,5398.23,12542.53,5373.69
134217728,50,24983.77,5372.2,25077.85,5424.47
268435456,32,50219.6,5345.23,50148.48,5332.88
