mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER tcp  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:4.72,bandwith:5367.95
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,4.72,0,4.72,10.89
1,100,4.78,0.21,4.72,11.09
2,100,4.76,0.42,4.72,11.3
4,100,4.75,0.84,4.72,11.7
8,100,4.78,1.67,4.72,12.52
16,100,4.79,3.34,4.72,14.15
32,100,4.82,6.64,4.73,17.42
64,100,4.73,13.53,4.73,23.97
128,100,4.8,26.69,4.74,37.14
256,100,4.84,52.94,4.77,63.5
512,100,6.9,74.21,4.82,114.15
1024,100,7.02,145.84,4.91,200.8
2048,100,6.79,301.82,5.1,324.16
4096,100,7.68,533.3,5.48,457.1
8192,100,8.67,945.34,6.25,649.06
16384,100,15.49,1057.63,7.77,937.42
32768,100,23.73,1380.98,10.82,1262.93
65536,100,45.3,1446.72,16.93,1678.09
131072,100,87.63,1495.66,29.14,2311.15
262144,100,78.39,3344.04,53.55,3006.38
524288,100,128.99,4064.45,102.39,3631.44
1048576,98,223.32,4695.43,200.06,4527.63
2097152,98,407.54,5145.89,395.39,5379.26
4194304,96,778.67,5386.52,786.07,5503.23
8388608,94,1525.85,5497.68,1567.42,5465.45
16777216,88,3035.77,5526.52,3130.12,5420.38
33554432,80,6281.88,5341.47,6255.52,5393.92
67108864,66,12618.82,5318.16,12506.31,5370.11
134217728,50,24863.62,5398.16,25007.9,5349.64
268435456,32,50058.82,5362.4,50011.09,5372.52
