mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl vader,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.25,bandwith:6447.62
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.25,0,0.25,32.83
1,100,0.2,5.07,0.25,36.07
2,100,0.2,10.17,0.25,39.31
4,100,0.2,20.32,0.25,45.79
8,100,0.2,40.63,0.25,58.78
16,100,0.2,80.46,0.25,84.83
32,100,0.24,134.67,0.25,136.79
64,100,0.24,271.16,0.26,236.79
128,100,0.35,367.71,0.27,415.13
256,100,0.32,796.76,0.29,700.72
512,100,0.44,1161.51,0.33,1118.07
1024,100,0.54,1894.96,0.41,1776.54
2048,100,0.8,2568.12,0.57,2612.36
4096,100,1.28,3207.44,0.89,3204.87
8192,100,2.2,3723.74,1.52,3815.6
16384,100,3.6,4556.56,2.79,4621.57
32768,100,6.02,5445.36,5.33,5160.38
65536,100,12.07,5427.97,10.41,5396.87
131072,100,25.41,5158,20.58,5760.64
262144,100,42.06,6232.64,40.91,6183.6
524288,100,74.13,7072.17,81.57,6610.48
1048576,98,143.93,7285.54,162.88,7218.85
2097152,98,277.85,7547.78,325.51,7759.33
4194304,96,550.24,7622.61,650.77,7712.45
8388608,94,1113.33,7534.68,1301.29,7460.45
16777216,88,2237.7,7497.53,2602.34,7134.74
33554432,80,5165.17,6496.29,5204.42,6862.85
67108864,66,10413.78,6444.24,10408.59,6543.51
134217728,50,20877.04,6428.96,20816.94,6252.3
268435456,32,41637.88,6446.91,41633.63,6487.49
