mpirun -np 2 --mca pml ob1 --report-bindings -map-by core  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:6.72,bandwith:5343.47
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,6.72,0,6.72,7.71
1,100,5.3,0.19,6.72,7.89
2,100,5.26,0.38,6.72,8.08
4,100,5.24,0.76,6.72,8.45
8,100,5.26,1.52,6.72,9.19
16,100,5.23,3.06,6.72,10.68
32,100,5.23,6.12,6.73,13.65
64,100,5.25,12.19,6.73,19.61
128,100,5.78,22.13,6.74,31.55
256,100,5.81,44.09,6.77,55.43
512,100,5.86,87.3,6.82,102.24
1024,100,6,170.74,6.91,189.19
2048,100,5.91,346.66,7.1,339.62
4096,100,6.83,599.31,7.49,579.87
8192,100,7.47,1097.26,8.25,967.97
16384,100,9.82,1667.77,9.79,1489.45
32768,100,16.94,1934.37,12.85,1873.65
65536,100,36.89,1776.65,18.98,2117.88
131072,100,56.72,2311.05,31.25,2504.57
262144,100,88.75,2953.69,55.78,2988.27
524288,100,134.5,3898.03,104.84,3544.88
1048576,98,232.87,4502.75,202.96,4359.93
2097152,98,422.78,4960.44,399.2,5145.33
4194304,96,803.63,5219.2,791.67,5295.39
8388608,94,1565.71,5357.72,1576.63,5321.83
16777216,88,3103.05,5406.69,3146.53,5345.82
33554432,80,6340.44,5292.13,6286.35,5336.05
67108864,66,12675.05,5294.56,12565.97,5307.98
134217728,50,25264.75,5312.45,25125.23,5292.62
268435456,32,50142.41,5353.46,50243.74,5357.88
