mpirun -np 2 --mca pml ob1 --report-bindings -map-by core  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.24,bandwith:4503.32
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.24,0,0.24,22.74
1,100,0.27,3.69,0.24,25.45
2,100,0.27,7.34,0.24,28.16
4,100,0.27,14.67,0.24,33.57
8,100,0.27,29.56,0.24,44.43
16,100,0.36,44.72,0.24,66.22
32,100,0.28,113.83,0.25,109.64
64,100,0.3,214.17,0.25,192.85
128,100,0.36,355.54,0.27,339.23
256,100,0.45,571.68,0.3,566.72
512,100,0.61,836.48,0.35,885.5
1024,100,0.66,1558.16,0.47,1396.26
2048,100,0.82,2497.87,0.69,2093.72
4096,100,1.87,2185.31,1.15,2750.3
8192,100,2.28,3592.35,2.06,3583.13
16384,100,3.43,4770.72,3.88,4629.25
32768,100,6.51,5036.06,7.52,5128.35
65536,100,12.74,5145.81,14.79,4939.82
131072,100,29.68,4415.68,29.35,4673.83
262144,100,57.98,4521.07,58.45,4482.58
524288,100,113.01,4639.2,116.66,4517.5
1048576,98,229.07,4577.6,233.08,4590.41
2097152,98,454.64,4612.81,465.93,4653.29
4194304,96,904.91,4635.05,931.62,4641.22
8388608,94,1817.11,4616.45,1862.99,4600.98
16777216,88,3659.26,4584.87,3725.75,4553.21
33554432,80,7474.22,4489.35,7451.26,4525.9
67108864,66,14935.76,4493.17,14902.27,4502.15
134217728,50,29828.17,4499.7,29804.31,4482.48
268435456,32,59591.32,4504.61,59608.37,4508.6
