mpirun -np 2 --mca pml ob1 --report-bindings -map-by node  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:16.6,bandwith:2118.96
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,16.6,0,16.6,6.84
1,100,16.88,0.06,16.6,6.87
2,100,16.85,0.12,16.6,6.89
4,100,16.84,0.24,16.6,6.94
8,100,16.77,0.48,16.6,7.04
16,100,17.05,0.94,16.61,7.25
32,100,16.82,1.9,16.62,7.66
64,100,16.91,3.78,16.63,8.47
128,100,17.57,7.29,16.66,10.1
256,100,17.43,14.69,16.72,13.36
512,100,17.96,28.51,16.84,19.89
1024,100,18.72,54.69,17.08,32.98
2048,100,37.87,54.07,17.57,59.14
4096,100,40.42,101.33,18.53,110.04
8192,100,38.11,214.93,20.47,200.63
16384,100,42.6,384.58,24.33,340.84
32768,100,62.31,525.91,32.06,512.51
65536,100,85.9,762.96,47.53,744.86
131072,100,139.06,942.59,78.46,1085.24
262144,100,197.68,1326.13,140.31,1407.57
524288,100,297.99,1759.42,264.03,1591.35
1048576,98,532.89,1967.7,511.45,1840.63
2097152,98,1029.8,2036.47,1006.3,2070.59
4194304,96,2145.7,1954.75,1996.01,2081.72
8388608,94,4119.71,2036.21,3975.42,2035.6
16777216,88,8386.77,2000.44,7934.23,1995.26
33554432,80,16287.7,2060.11,15851.86,2018.67
67108864,66,32183.97,2085.16,31687.13,2082.93
134217728,50,63091.86,2127.34,63357.66,2145.51
268435456,32,126617.36,2120.05,126698.72,2115.48
