mpirun -np 2 --mca pml ucx --report-bindings -map-by node  --mca btl tcp,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:1,bandwith:12187.1
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1,0,1,28.01
1,100,0.99,1.01,1,28.56
2,100,1.01,1.99,1,29.11
4,100,1,4.01,1,30.21
8,100,0.99,8.07,1,32.4
16,100,1.02,15.73,1,36.78
32,100,1,31.87,1,45.54
64,100,1.17,54.89,1.01,63.1
128,100,1.18,108.66,1.01,98.33
256,100,1.43,178.88,1.02,168.57
512,100,1.47,348.01,1.04,302.87
1024,100,1.66,615.11,1.08,531.27
2048,100,2.38,861.58,1.17,851.52
4096,100,3.37,1216.13,1.34,1182.65
8192,100,4.91,1668.54,1.67,1656.27
16384,100,6.93,2365.41,2.34,2390.57
32768,100,9.33,3512.75,3.69,3294.01
65536,100,14.24,4601.48,6.38,4522.06
131072,100,24.01,5458.75,11.76,6322.84
262144,100,32.33,8109.43,22.51,8035.12
524288,100,54.38,9640.62,44.02,9030.54
1048576,98,98.84,10608.95,87.04,10399.01
2097152,98,182.71,11477.83,173.08,11721.92
4194304,96,354.64,11827.04,345.16,11988.84
8388608,94,694.47,12079.22,689.32,12060.49
16777216,88,1376.14,12191.5,1377.65,12141.81
33554432,80,2753,12188.3,2754.29,12176.23
67108864,66,5502.21,12196.72,5507.58,12194.88
134217728,50,11004.66,12196.44,11014.16,12208.52
268435456,32,22033.2,12183.22,22027.32,12180.11
