mpirun -np 2 --mca pml ob1 --report-bindings -map-by socket  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:9.68,bandwith:3291.66
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,9.68,0,9.68,5.23
1,100,8.26,0.12,9.68,5.35
2,100,8.19,0.24,9.68,5.47
4,100,8.21,0.49,9.68,5.71
8,100,8.16,0.98,9.68,6.19
16,100,8.12,1.97,9.68,7.14
32,100,8.01,3.99,9.69,9.04
64,100,8.19,7.81,9.7,12.85
128,100,9.45,13.54,9.72,20.49
256,100,9.32,27.48,9.76,35.79
512,100,9.37,54.66,9.84,65.69
1024,100,9.57,106.99,9.99,120.72
2048,100,9.27,220.93,10.3,214.05
4096,100,10.95,374.08,10.92,358.69
8192,100,12.01,682,12.17,591.17
16384,100,16.07,1019.23,14.66,907.47
32768,100,27.18,1205.41,19.63,1155.08
65536,100,59.91,1093.92,29.59,1338.89
131072,100,86.66,1512.51,49.5,1624.87
262144,100,135.42,1935.75,89.32,1963.38
524288,100,209.08,2507.61,168.96,2317.95
1048576,98,348.66,3007.49,328.24,2832.26
2097152,98,654.87,3202.38,646.79,3321.08
4194304,96,1273.29,3294.08,1283.9,3392.47
8388608,94,2486.49,3373.67,2558.13,3370.7
16777216,88,4891.44,3429.91,5106.58,3342.77
33554432,80,10262.73,3269.54,10203.48,3320.12
67108864,66,20428.67,3285.03,20397.27,3294.18
134217728,50,40815.31,3288.42,40784.87,3271.64
268435456,32,81545.13,3291.86,81560.05,3295.64
