mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl vader,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.42,bandwith:5673.65
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.42,0,0.42,75.6
1,100,0.4,2.48,0.42,76.23
2,100,0.39,5.08,0.42,76.87
4,100,0.4,10.05,0.42,78.15
8,100,0.39,20.32,0.42,80.7
16,100,0.43,37.15,0.42,85.81
32,100,0.57,55.99,0.43,96.01
64,100,0.56,114.94,0.43,116.48
128,100,0.9,141.6,0.44,157.61
256,100,0.93,275.72,0.47,239.74
512,100,1.23,416.37,0.51,395.85
1024,100,1.23,833.4,0.6,653.34
2048,100,2.13,959.53,0.78,982.79
4096,100,3.11,1318.64,1.14,1227.45
8192,100,4.6,1781.25,1.86,1510.32
16384,100,7.06,2320.12,3.31,1969.28
32768,100,11.44,2865.3,6.2,2599.81
65536,100,20.25,3235.78,11.97,3532.82
131072,100,42.74,3066.74,23.52,4916.9
262144,100,36.78,7128.03,46.62,6291.48
524288,100,65.49,8006.15,92.83,7225.18
1048576,98,118.39,8856.67,185.24,8508.51
2097152,98,230.98,9079.18,370.06,9646.84
4194304,96,457.34,9171.12,739.69,9539.04
8388608,94,901.63,9303.81,1478.96,8974.17
16777216,88,1823.23,9201.91,2957.5,8173.38
33554432,80,5337.11,6287.01,5914.58,7295.29
67108864,66,11821.07,5677.06,11828.74,6127.02
134217728,50,23721.9,5657.97,23657.06,5038.1
268435456,32,47450.13,5657.21,47313.7,5795.81
