mpirun -np 2 --mca pml ob1 --report-bindings -map-by socket  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
ct1pt-tnode007.hpc,ct1pt-tnode008.hpc
latency:0.59,bandwith:3948.92
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.59,0,0.59,85.04
1,100,0.59,1.7,0.59,85.43
2,100,0.59,3.41,0.59,85.83
4,100,0.58,6.87,0.59,86.61
8,100,0.57,13.93,0.59,88.17
16,100,0.6,26.76,0.59,91.3
32,100,0.65,49.14,0.6,97.56
64,100,0.83,77.53,0.61,110.08
128,100,0.9,142.03,0.62,135.14
256,100,1.15,223.47,0.65,185.2
512,100,1.1,467.36,0.72,284.22
1024,100,1.46,703.24,0.85,475.27
2048,100,1.86,1100.39,1.11,831.25
4096,100,2.81,1456.5,1.63,1460.66
8192,100,3.41,2405.56,2.66,2493.39
16384,100,4.87,3367.3,4.74,3827.06
32768,100,7.59,4315.15,8.89,4607.51
65536,100,11.3,5801.56,17.19,4716.5
131072,100,28.02,4677.73,33.78,4862.24
262144,100,54.76,4787.56,66.97,4970.83
524288,100,106.67,4915.22,133.36,4962.08
1048576,98,217.18,4828.18,266.12,4933.08
2097152,98,430.63,4870.02,531.65,4889.47
4194304,96,857.45,4891.58,1062.72,4828.52
8388608,94,1734.25,4837.03,2124.84,4724.69
16777216,88,3469.16,4836.1,4249.09,4562.89
33554432,80,8446.48,3972.59,8497.6,4346.2
67108864,66,16996.46,3948.4,16994.6,4040.39
134217728,50,34024.19,3944.77,33988.61,3761.84
268435456,32,68029.98,3945.84,67976.64,3988.46
